image_path,status,error_message
downloaded_images/187802381_802_tomato_solanum_lycopersicum_2023_10_16_10_europe_madrid_arenas_de_san_pedro_castille_and_leon_provincia_de_avila_ES.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/187802381_803_tomato_solanum_lycopersicum_2023_10_16_10_europe_madrid_arenas_de_san_pedro_castille_and_leon_provincia_de_avila_ES.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/187802381_804_tomato_solanum_lycopersicum_2023_10_16_10_europe_madrid_arenas_de_san_pedro_castille_and_leon_provincia_de_avila_ES.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/182093806_1278_tomato_solanum_lycopersicum_2023_9_6_15_america_port_of_spain_tunapuna_tunapuna/piarco__TT.jpg,Failure,The provided image path [ downloaded_images/182093806_1278_tomato_solanum_lycopersicum_2023_9_6_15_america_port_of_spain_tunapuna_tunapuna/piarco__TT.jpg ] is not a valid path. Please provide a path to an image or a directory.
downloaded_images/181181236_1378_tomato_solanum_lycopersicum_2023_8_30_12_europe_podgorica_ulcinj_ulcinj__ME.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/181035895_1387_tomato_solanum_lycopersicum_2023_8_31_7_america_new_york_luzerne_pennsylvania_luzerne_county_US.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/180982352_1393_tomato_solanum_lycopersicum_2023_8_30_18_america_new_york_arlington_virginia_arlington_county_US.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/172709785_1824_tomato_solanum_lycopersicum_2023_7_9_12_europe_moscow_boguchar_voronezj__RU.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/169329398_1907_tomato_solanum_lycopersicum_2023_6_25_10_asia_taipei_yilan_taiwan_yilan_TW.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/152691955_2425_cherry_tomato_solanum_lycopersicum_cerasiforme_2023_3_28_13_america_port_of_spain_tunapuna_tunapuna/piarco__TT.jpg,Failure,The provided image path [ downloaded_images/152691955_2425_cherry_tomato_solanum_lycopersicum_cerasiforme_2023_3_28_13_america_port_of_spain_tunapuna_tunapuna/piarco__TT.jpg ] is not a valid path. Please provide a path to an image or a directory.
downloaded_images/152691955_2426_cherry_tomato_solanum_lycopersicum_cerasiforme_2023_3_28_13_america_port_of_spain_tunapuna_tunapuna/piarco__TT.jpg,Failure,The provided image path [ downloaded_images/152691955_2426_cherry_tomato_solanum_lycopersicum_cerasiforme_2023_3_28_13_america_port_of_spain_tunapuna_tunapuna/piarco__TT.jpg ] is not a valid path. Please provide a path to an image or a directory.
downloaded_images/149047266_2577_tomato_solanum_lycopersicum_2023_2_8_14_africa_nairobi_zanzibar_zanzibar_urban/west__TZ.jpg,Failure,The provided image path [ downloaded_images/149047266_2577_tomato_solanum_lycopersicum_2023_2_8_14_africa_nairobi_zanzibar_zanzibar_urban/west__TZ.jpg ] is not a valid path. Please provide a path to an image or a directory.
downloaded_images/137092949_3185_tomato_solanum_lycopersicum_2022_9_30_11_europe_stockholm_uppsala_uppsala_uppsala_kommun_SE.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/130772085_3611_tomato_solanum_lycopersicum_2022_8_14_13_europe_moscow_belgorod_belgorod_belgorodskiy_rayon_RU.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/122273952_3937_tomato_solanum_lycopersicum_2021_8_27_16_europe_kiev_lityn_vinnyts'ka__UA.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/85627287_4172_tomato_solanum_lycopersicum_2021_7_4_10_europe_lisbon_ericeira_lisbon_mafra_PT.jpg,Failure,'str' object has no attribute 'get'
downloaded_images/38138963_4255_tomato_solanum_lycopersicum_2020_1_30_11_america_chicago_monterrey_nuevo_leon_monterrey_MX.jpg,Failure,'str' object has no attribute 'get'
